uid,address,last_modified,title,description,new_page,filename_updated,division,collection,publication,osh,,,,,,,,,,
L0423,http://www.nclabor.com/osha/compliance/publicopn/opn141.pdf,"Wed, 28 Mar 2012 00:53:30 GMT"," Enforcement Guidance for Conducting Heat-Related Illness Inspections and Issuing Citations "," Enforcement Guidance for Conducting Heat-Related Illness Inspections and Issuing Citations ",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0393,http://www.nclabor.com/osha/compliance/publicfom/fom01d.pdf,"Thu, 14 Nov 2013 01:42:09 GMT","Field Operations Manual Chapter I  Purpose, Scope and Quality Management ations Manual","Field Operations Manual Chapter I  Purpose, Scope and Quality Management ations Manual",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0394,http://www.nclabor.com/osha/compliance/publicfom/fom02w.pdf,"Thu, 07 Jul 2016 18:51:34 GMT","Field Operations Manual Chapter II  Compliance Programming","Field Operations Manual Chapter II  Compliance Programming",N,N,OSH,OSH Enforcement Procedures,,Field Operations Manual,,,,,,,,,,
L0491,http://www.nclabor.com/osha/etta/exampleprograms/1-Bromopropane.doc,"Thu, 10 Jul 2014 19:45:17 GMT",1-Bromopropane Program,This document contains a customizable example program for workplaces with employee exposure to 1-Bromopropane. ,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0493,http://www.nclabor.com/osha/etta/exampleprograms/1.5_Modifier_Safety_and_Health_Policy.doc,"Thu, 10 Jul 2014 21:11:32 GMT",1.5 Modifier Rate Safety and Health Policy,This example program is intended as a guide for complying with the requirements of NCGS 95-251 and 252 for employers with workers compensation experience rate modifiers of 1.5 or higher. The program can be customized to fit an individual workplace.,N,N,OSH,OSH Example Programs,,,,,,,,,,,,
L0200,http://www.nclabor.com/elevator/online_forms/Elev_Co_10_item_checklist.pdf,"Tue, 25 Apr 2017 00:56:31 GMT",10-Item Checklist for Elevators,preinspection checklist for elevators,N,N,Elevator,,,,,,,,,,,,,
L0421,http://www.nclabor.com/osha/compliance/publicopn/opn136a.pdf,"Wed, 01 Jun 2011 21:12:20 GMT","13 NCAC 7F.0202, North Carolina State-specific rule modifying 29 CFR 1926.28(a) - Personal Protective Equipment.","14 NCAC 7F.0202, North Carolina State-specific rule modifying 29 CFR 1926.28(a) - Personal Protective Equipment.",N,N,OSH,OSH Enforcement Procedures,,Operational Procedure Notice,,,,,,,,,,
L0711,http://www.nclabor.com/osha/PublicSN/Sn67.pdf,"Wed, 06 Sep 2006 17:14:34 GMT",1910.146; Applicability of the Permit Required Confined Spaces Standard to Concrete Mixing Trucks,,N,N,OSH,OSH Enforcement Procedures,,Standards Notice,,,,,,,,,,
L0077,http://www.nclabor.com/dol_statistics/ofirr/reports/InternetOFIR2009.xls,"Thu, 04 Feb 2010 19:36:56 GMT",2008-2009 Fatal Events Summary,2008-2009 Fatal Events Summary,N,N,OSH ,Reports,,,,,,,,,,,,
L0078,http://www.nclabor.com/dol_statistics/ofirr/reports/InternetOFIR2010.xls,"Thu, 24 Mar 2011 22:41:22 GMT",2009-2010 Fatal Events Summary,2009-2010 Fatal Events Summary,N,N,OSH ,Reports,,,,,,,,,,,,
L0080,http://www.nclabor.com/dol_statistics/ofirr/reports/InternetOFIR2012.xls,"Tue, 04 Jun 2013 21:58:22 GMT",2011-2012 Fatal Events Summary,2011-2012 Fatal Events Summary,N,N,OSH ,Reports,,,,,,,,,,,,
L0081,http://www.nclabor.com/dol_statistics/ofirr/reports/InternetOFIR2013.xls,"Mon, 06 Jan 2014 19:51:25 GMT",2012-2013 Fatal Events Summary,2012-2013 Fatal Events Summary,N,N,OSH ,Reports,,,,,,,,,,,,
