uid,address,title,summary,body,collection,terms,year_from,year_to,user,destination_dir
dor1,http://www.dornc.com/practitioner/individual/bulletins/income_bulletins.pdf,1999 and 2000 Individual Income Tax Bulletins,North Carolina 2015 Tax Law Changes,"This document provides a brief summary of legislative tax changes made by prior General Assemblies that take effect for tax year 2015, as well as changes made by the 2015 General Assembly, regardless of effective date.  This document includes changes to the tax law only and not other legislation that affect the Department of Revenue.",Policies,"Individual Income Tax,Withholding,Sales & Use Tax",1999,2000,0,policies
dor2,http://www.dornc.com/downloads/fillin/00individual/D-410_2000_WebFill.pdf,2000 Application for Extension,2000 Application for Extension,"Form D-410 - 2000 Application for Extension for Individuals, Partnerships, Estates, Trusts, and Gifts",Forms,"Individual Income Tax,Partnerships,Estates and Trusts (Fiduciary)",2000,,0,forms
dor3,http://www.dornc.com/downloads/corp_archive/00archive/CD-405_2000.pdf|http://www.dornc.com/downloads/corp_archive/00archive/CD-405_instructions.pdf|http://www.dornc.com/downloads/corp_archive/00archive/CD-425_00.pdf,2000 C Corporation Tax Forms,2000 CD-405 C Corporation Tax Return 2000 CD-405 C Corporation Tax Return Instructions 2000 CD-425 Corporate Tax Credit Summary,2000 CD-405 C Corporation Tax Return 2000 CD-405 C Corporation Tax Return Instructions 2000 CD-425 Corporate Tax Credit Summary,Forms,"Corporate Income Tax,Franchise Tax,Insurance Premium Tax",2000,,0,forms
dor4,http://www.dornc.com/downloads/corp_archive/00archive/CD-419Web_2000.pdf,2000 CD-419 Application for Extension Franchise and Corporate Income Tax,2000 CD-419 Application for Extension Franchise and Corporate Income Tax,2000 CD-419 Application for Extension Franchise and Corporate Income Tax,Forms,"Corporate Income Tax,Franchise Tax",2000,,0,forms
dor5,http://www.dornc.com/downloads/fillin/00corporate/CD-419_webfill_2000.pdf,2000 CD-419 Web-Fill Application for Extension Franchise and Corporate Income Tax,2000 CD-419 Web-Fill Application for Extension,2000 CD-419 Web-Fill Application for Franchise and Corporate Income Tax Extension,Forms,"Corporate Income Tax,Franchise Tax",2000,,0,forms
dor6,http://www.dornc.com/downloads/fillin/00corporate/CD-429_webfill_2000.pdf,2000 CD-429 Web-Fill Corporate Estimated Income Tax,2000 CD-429 Web-Fill Corporate Estimated Income Tax,2000 CD-429 Web-Fill Corporate Estimated Income Tax,Forms,Corporate Income Tax,2000,,0,forms
dor7,http://www.dornc.com/downloads/corp_archive/00archive/CD-429B_00.pdf,2000 CD-429B Underpayment of Estimated Tax by C Corporations,2000 CD-429B Underpayment of Estimated Tax by C Corporations,2000 CD-429B Underpayment of Estimated Tax by C Corporations,Forms,Corporate Income Tax,2000,,0,forms
dor8,http://www.dornc.com/downloads/fillin/00corporate/CD-479_2000_webfill_final.pdf,2000 CD-479 Web-Fill Business Corporation Annual Report,2000 CD-479 Web-Fill Business Corporation Annual Report,2000 CD-479 Web-Fill Business Corporation Annual Report,Forms,"Corporate Income Tax,Franchise Tax",2000,,0,forms
dor9,http://www.dornc.com/downloads/indiv_archive/00archive/NC_K-1_D407_2000_Web.pdf,2000 Estates and Trusts Tax Forms Handwritten,"Form NC K-1 D-407 Web Beneficiary's Share of North Carolina Income, Adjustments, and Credits","Form NC K-1 D-407 Web Beneficiary's Share of North Carolina Income, Adjustments, and Credits",Forms,"Partnerships,Individual Income Tax",2000,,0,forms
dor10,http://www.dornc.com/downloads/indiv_archive/00archive/D407_2000_Web.pdf|http://www.dornc.com/downloads/indiv_archive/00archive/D-407A_2000_Web.pdf|http://www.dornc.com/downloads/indiv_archive/00archive/D-407TC_2000_Web.pdf,2000 Estates and Trusts Tax Forms Webfill,2000 Form D-407 Web Estates and Trusts Income Tax Return 2000 Form D-407A Web Instructions for Estates and Trusts Income Tax Return 2000 Form D-407TC Web Estates and Trusts Tax Credit Summary,"2000 Form D-407 Web Estates and Trusts Income Tax Return 2000 Form D-407A Web Instructions for Estates and Trusts Income Tax Return 2000 Form D-407TC Web Estates and Trusts Tax Credit Summary - File this form with Form D-407, Estates and Trusts Income Tax Return, if any tax credits are to be allocated to the Fiduciary.",Forms,"Estates and Trusts (Fiduciary),Partnerships",2000,,0,forms
dor11,http://www.dornc.com/downloads/indiv_archive/00archive/G-600_01.pdf,2000 Form G-600 Web Gift Tax Return,2000 Form G-600 Web Gift Tax Return,Form F-600 Web Gift Tax Return,Forms,"Estates and Trusts (Fiduciary),Individual Income Tax",2000,,0,forms
dor12,http://www.dornc.com/downloads/indiv_archive/00archive/d400_2000_Web.pdf|http://www.dornc.com/downloads/indiv_archive/00archive/D401Instructions.pdf|http://www.dornc.com/downloads/indiv_archive/01archive/D400X_After_v1_99.pdf,2000 Individual Income Tax Forms Handwritten,2000 Form D-400 Web Individual Income Tax Return 2000 Form D-401 Web Individual Income Tax Instructions for Forms D-400 and D-400EZ Form D-400X Amended North Carolina Individual Income Tax Return,"2000 Form D-400 Web Individual Income Tax Return 2000 Form D-401 Web Individual Income Tax Instructions for Forms D-400 and D-400EZ Form D-400X Amended North Carolina Individual Income Tax Return (For Tax Years Beginning After December 31, 1998)",Forms,"Individual Income Tax,Partnerships",2000,,0,forms
dor13,http://www.dornc.com/downloads/fillin/00individual/D-400_2000_WebFill.pdf|http://www.dornc.com/downloads/fillin/00individual/D400TC_2000_WebFill.pdf|http://www.dornc.com/downloads/indiv_archive/00archive/D-400TC_2000_Web.pdf,2000 Individual Income Tax Forms Webfill,Individual Income Tax Return 2000 2000 Individual Tax Credits Form 2000 Form D-400TC  Web Individual Tax Credits,"D-400 Individual Income Tax Return for tax year 2000 Form D-400TC - 2000 Individual Tax Credits Forms 2000 Form D-400TC  Web Individual Tax Credits - If you claim a tax credit on Line 14 or 21 of Form D-400, you must attach this form to the return.  If you do not, the tax credit may be disallowed.",Forms,"Individual Income Tax,Partnerships",2000,,0,forms
dor14,http://www.dornc.com/downloads/corp_archive/00archive/CD-429A.pdf,2000 Instructions for Filing Form CD-429B Estimated Income Tax for Corporations,2000 Instructions for Filing Form CD-429B Estimated Income Tax for Corporations,2000 Instructions for Filing Form CD-429B Estimated Income Tax for Corporations,Forms,Corporate Income Tax,2000,,0,forms
dor15,http://www.dornc.com/downloads/corp_archive/00archive/NC478_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC478_A_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC478_B_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC478_C_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC478_D_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC478_E_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC-478_Examples.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC478_F_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC478_G_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC478_H_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC-478_Instructions.pdf,2000 NC-478 Series Forms,2000 NC-478 Summary of Tax Credits Limited to 50% of Tax 2000 NC-478A Tax Credit Creating New Jobs 2000 NC-478B Tax Credit Investing in Machinery and Equipment 2000 NC-478C Tax Credit Research and Development 2000 NC-478D Tax Credit Worker Training 2000 NC-478E Tax Credit Investing in Central Administrative Office Property 2000 Allocation of Form NC-478 Series Tax Credits-S Corporations 2000 NC-478F Tax Credit Investing in Business Property 2000 NC-478G Tax Credit Investing in Renewable Energy Property 2000 NC-478H Tax Credit Low Income Housing Instructions for 2000 Form NC- 478 Series,"2000 NC-478 Summary of Tax Credits Limited to 50% of Tax 2000 NC-478A Tax Credit, Creating New Jobs 2000 NC-478B Tax Credit, Investing in Machinery and Equipment 2000 NC-478C Tax Credit, Research and Development 2000 NC-478D Tax Credit, Worker Training 2000 NC-478E Tax Credit, Investing in Central Administrative Office Property 2000 Allocation of Form NC-478 Series Tax Credits-S Corporations 2000 NC-478F Tax Credit, Investing in Business Property 2000 NC-478G Tax Credit, Investing in Renewable Energy Property 2000 NC-478H Tax Credit, Low Income Housing Instructions for 2000 Form NC- 478 Series",Forms,"Corporate Income Tax,Franchise Tax,Insurance Premium Tax,Individual Income Tax,Partnerships,Estates and Trusts (Fiduciary)",2000,,0,forms
dor16,http://www.dornc.com/downloads/fillin/00corporate/NC_AC_00_WFv2.pdf,2000 NC-AC Web-Fill Business Address Correction,2000 NC-AC Web-Fill Business Address Correction,2000 NC-AC Web-Fill Business Address Correction,Forms,"Corporate Income Tax,Franchise Tax,Insurance Premium Tax,Partnerships,Withholding,Sales & Use Tax",2000,,0,forms
dor17,http://www.dornc.com/downloads/corp_archive/00archive/NCNA_00_Web.pdf,2000 NC-NA Nonresident Shareholder Agreement,2000 NC-NA Nonresident Shareholder Agreement,2000 NC-NA Nonresident Shareholder Agreement,Forms,Corporate Income Tax,2000,,0,forms
dor18,http://www.dornc.com/downloads/indiv_archive/00archive/D-403A_2000.pdf,2000 Partnership Tax Forms Handwritten,2000 Form D-403A Web Instructions for Partnersihp Income Tax Return,2000 Form D-403A Web Instructions for Partnersihp Income Tax Return,Forms,"Individual Income Tax,Partnerships",2000,,0,forms
dor19,http://www.dornc.com/downloads/indiv_archive/00archive/D-403_2000_Web.pdf|http://www.dornc.com/downloads/indiv_archive/00archive/D-403TC_2000_Web.pdf,2000 Partnership Tax Forms Webfill,2000 Form D-403 Web Partnership Income Tax Return 2000 Form D-403TC Web Partnership Tax Credit Summary,"2000 Form D-403 Web Partnership Income Tax Return 2000 Form D-403TC Web Partnership Tax Credit Summary - File this form with Form D-403, Partnership Income Tax Return, if the partnership claims a tax credit and there are nonresident partners whose share of th tax due is being paid by the manager of the partnership.",Forms,"Partnerships,Individual Income Tax",2000,,0,forms
dor20,http://www.dornc.com/downloads/corp_archive/00archive/CD-401S_2000.pdf|http://www.dornc.com/downloads/corp_archive/00archive/CD-401S_instructions.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC_AC_00.pdf|http://www.dornc.com/downloads/corp_archive/00archive/NC-K1_00_CD-401S_Web.pdf,2000 S Corporation Tax Forms,"2000 CD-401S S Corporation Tax Return 2000 CD-401S S Corporation Tax Return Instructions Business Address Correction Shareholder’s Share of North Carolina Income, Adjustments, and Credits","2000 CD-401S S Corporation Tax Return 2000 CD-401S S Corporation Tax Return Instructions Business Address Correction Shareholder’s Share of North Carolina Income, Adjustments, and Credits",Forms,"Corporate Income Tax,Individual Income Tax,Partnerships",2000,,0,forms
dor21,http://www.dornc.com/downloads/indiv_archive/01archive/D410_2001_Web.pdf,2001 Application for Extension for Filing Individual Income Tax Return,2001 Form D-410 Web Application for Extension for Filing Individual Income Tax Return,"2001 Form D-410 Web Application for Extension for Filing Individual Income Tax Return - Use Form D-410 to ask for 6 more months to file the North Carolina Individual Income Tax Return, Form D-400.",Forms,"Individual Income Tax,Partnerships",2001,,0,forms
dor22,http://www.dornc.com/downloads/indiv_archive/01archive/D410P_2001_Web.pdf,"2001 Application for Extension for Filing Partnership, Estate, or Trust Tax Return","2001 Form D-410P Web Applicatoin for Extension for Filing Partnershpi, Estate, or Trust Return","2001 Form D-410P Web Applicatoin for Extension for Filing Partnershpi, Estate, or Trust Return - Use Form D-410P to ask for 6 more months to file the North Carolina Partnership Income Tax Return, Form D-403 or the North Carolina Estates and Trusts Income Tax Return, Form D-407",Forms,"Partnerships,Estates and Trusts (Fiduciary)",2001,,0,forms
dor23,http://www.dornc.com/downloads/indiv_archive/01archive/D410G_2001_Web.pdf,2001 Application for Filing Gift Tax Return,2001 Form D-410G Web Application for Extension for Filing Gift Tax Return,"2001 Form D-410G Web Application for Extension for Filing Gift Tax Return - Use Form D-410G to ask for 6 more months to file the North Carolina Gift Tax Return, Form G-600.",Forms,"Estates and Trusts (Fiduciary),Individual Income Tax",2001,,0,forms
dor24,http://www.dornc.com/downloads/corp_archive/01archive/CD405_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/CD415_Instructions_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/CD425_2001.pdf,2001 C Corp Tax Forms,2001 CD-405 C Corporation Tax Return 2001 CD-405 C Corporation Tax Return Instructions 2001 CD-425 Corporate Tax Credit Summary,2001 CD-405 C Corporation Tax Return 2001 CD-405 C Corporation Tax Return Instructions 2001 CD-425 Corporate Tax Credit Summary,Forms,"Corporate Income Tax,Franchise Tax,Insurance Premium Tax",2001,,0,forms
dor25,http://www.dornc.com/downloads/fillin/01corporate/CD479_2001_Webfill.pdf,2001 CD-479 Web-Fill Business Corporation Annual Report,2001 CD-479 Web-Fill Business Corporation Annual Report,2001 CD-479 Web-Fill Business Corporation Annual Report,Forms,"Corporate Income Tax,Franchise Tax",2001,,0,forms
dor26,http://www.dornc.com/downloads/indiv_archive/01archive/D407_2001_Web.pdf|http://www.dornc.com/downloads/indiv_archive/01archive/D-407A_2001_Web.pdf|http://www.dornc.com/downloads/indiv_archive/01archive/D-407TC_2001_Web.pdf|http://www.dornc.com/downloads/indiv_archive/01archive/NC%20K-1_D407_2001_Web.pdf|http://www.dornc.com/downloads/indiv_archive/02archive/D-407TC_2001_Web.pdf,2001 Estates and Trusts Tax Forms Webfill,"2001 Form D-407 Web Estates and Trusts Income Tax Return 2001 Form D-407A Web Instructions for Estates and Trusts Income Tax Return 2001 Form D-407TC Web Estates and Trusts Tax Credit Summary 2001 Form NC K-1 D-407 Beneficiary's Share of North Carolina Income, Adjustments, and Credits 2001 Form D-407TC Web Estates and Trusts Tax Credit Summary","2001 Form D-407 Web Estates and Trusts Income Tax Return 2001 Form D-407A Web Instructions for Estates and Trusts Income Tax Return 2001 Form D-407TC Web Estates and Trusts Tax Credit Summary - File this form with Form D-407, Estates and Trusts Income Tax Return, if any tax credits are to be allocated to the Fiduciary. 2001 Form NC K-1 D-407 Beneficiary's Share of North Carolina Income, Adjustments, and Credits 2001 Form D-407TC Web Estates and Trusts Tax Credit Summary - File this form with Form D-407, Estates and Trusts Income Tax Return, if any tax credits are to be allocated to the Fiduciary.",Forms,"Estates and Trusts (Fiduciary),Partnerships,Individual Income Tax",2001,,0,forms
dor27,http://www.dornc.com/downloads/indiv_archive/01archive/G-600_01.pdf,2001 Form G-600 Web Gift Tax Return,2001 Form G-600 Web Gift Tax Return,2001 Form G-600 Web Gift Tax Return,Forms,"Estates and Trusts (Fiduciary),Individual Income Tax,Partnerships",2001,,0,forms
dor28,http://www.dornc.com/downloads/fillin/01individual/D-400_2001_Webfill.pdf|http://www.dornc.com/downloads/fillin/01individual/D-400_D-400TC_2001_Webfill.pdf|http://www.dornc.com/downloads/indiv_archive/01archive/D400_2001_Web.pdf|http://www.dornc.com/downloads/indiv_archive/01archive/D400_D400TC_2001_Web.pdf|http://www.dornc.com/downloads/indiv_archive/01archive/D401_Web_2001.pdf,2001 Individual Income Tax Forms Webfill,2001 Webfill North Carolina Individual Income Tax Return 2001 Webfill North Carolina Individual Income Tax Return with Tax Credits 2001 Form D-400 Web Individual Income Tax Return 2001 Form D-400 Web Individual Income Tax Return 2001 Form D-401 Web Individual Income Tax Instructions for Forms D-400 and D-400EZ,2001 Webfill North Carolina Individual Income Tax Return 2001 Webfill North Carolina Individual Income Tax Return with Tax Credits 2001 Form D-400 Web Individual Income Tax Return 2001 Form D-400 Web Individual Income Tax Return 2001 Form D-401 Web Individual Income Tax Instructions for Forms D-400 and D-400EZ,Forms,"Individual Income Tax,Partnerships",2001,,0,forms
dor29,http://www.dornc.com/downloads/corp_archive/01archive/NC478_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/NC478_Instruc_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/NC478A_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/NC478B_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/NC478C_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/NC478D_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/NC478E_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/NC478F_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/NC478G_2001.pdf|http://www.dornc.com/downloads/corp_archive/01archive/NC478H_2001.pdf,2001 NC-478 Series Forms,2001 NC-478 Summary of Tax Credits Limited to 50% of Tax 2001 NC-478 Instructions for Form NC-478 Series  2001 NC-478A Tax Credit Creating New Jobs 2001 NC-478B Tax Credit Investing in Machinery and Equipment 2001 NC-478C Tax Credit Research and Development 2001 NC-478D Tax Credit Worker Training 2001 NC-478E Tax Credit Investing in Central Office or Aircraft Facility Property 2001 NC-478F Tax Credit Investing in Business Property 2001 NC-478G Tax Credit Investing in Renewable Energy Property 2001 NC-478H Tax Credit Low Income Housing,2001 NC-478 Summary of Tax Credits Limited to 50% of Tax 2001 NC-478 Instructions for Form NC-478 Series  2001 NC-478A Tax Credit Creating New Jobs 2001 NC-478B Tax Credit Investing in Machinery and Equipment 2001 NC-478C Tax Credit Research and Development 2001 NC-478D Tax Credit Worker Training 2001 NC-478E Tax Credit Investing in Central Office or Aircraft Facility Property 2001 NC-478F Tax Credit Investing in Business Property 2001 NC-478G Tax Credit Investing in Renewable Energy Property 2001 NC-478H Tax Credit Low Income Housing,Forms,"Corporate Income Tax,Franchise Tax,Insurance Premium Tax,Individual Income Tax,Partnerships,Estates and Trusts (Fiduciary)",2001,,0,forms
dor30,http://www.dornc.com/downloads/corp_archive/01archive/NC-480_2001.pdf,2001 NC-480 Application for Tax Credit for Development Zone Projects,"Application for Tax Credit for Development Zone Projects, NC-480","Application for Tax Credit for Development Zone Projects, NC-480",Forms,"Corporate Income Tax,Franchise Tax,Insurance Premium Tax,Individual Income Tax,Partnerships,Estates and Trusts (Fiduciary)",2001,,0,forms
dor31,http://www.dornc.com/downloads/fillin/01corporate/NC_AC_00_WFv2.pdf,2001 NC-AC Web-Fill Business Address Correction,2001 NC-AC Web-Fill Business Address Correction,2001 NC-AC Web-Fill Business Address Correction,Forms,"Corporate Income Tax,Franchise Tax,Insurance Premium Tax,Partnerships,Withholding,Sales & Use Tax",2001,,0,forms
dor32,http://www.dornc.com/downloads/fillin/01corporate/NC-BN_Web_Fill.pdf,2001 NC-BN Out of Business Notification,Out of Business Notification 2001 NC-BN,Out of Business Notification 2001 NC-BN,Forms,Corporate Income Tax,2001,,0,forms
