uid,address,document_collection,title,short_description,long_description,collection,destination_dir
shp1,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/10%20Nov%202016%20Financial%20Report%20(final).pdf,Board of Trustees,,,,,
shp2,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/11%20Contract%20and%20Benefit%20Implementation%20Update%20(final).pdf,Board of Trustees,,,,,
shp3,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/12%20Comparative%20Analysis%20of%20State%20Health%20Plan%20Benefits%20(final).pdf,Board of Trustees,,,,,
shp4,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/13%20Dec%202016%20PT%20Meeting%20(final).pdf,Board of Trustees,,,,,
shp5,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/1A-Nov2015-FinancialReport_01-26-2016.pdf,Board of Trustees,,,,,
shp6,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2015-16%20State%20Fiscal%20Year%20End%20Financial%20Report%20(final).pdf,Board of Trustees,,,,,
shp7,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2016%20SHP%20Strategic%20Plan%20Update%20(final).pdf,Board of Trustees,,,,,
shp8,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2017%20Benefit%20Design%20Changes%20(Vote).pdf,Board of Trustees,,,,,
shp9,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2017%20Health%20Engagement%20Program%20(final).pdf,Board of Trustees,,,,,
shp10,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2017%20Out%20of%20Pocket%20Cost%20Sharing%20Changes%20(final).pdf,Board of Trustees,,,,,
shp11,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2017%20Premium%20Rate%20Recommendations%20(final).pdf,Board of Trustees,,,,,
shp12,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2018%20Benefit%20Development%20Health%20Engagement%20Program%20(final).pdf,Board of Trustees,,,,,
shp13,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2018%20Benefit%20Development%20Potential%20Cost%20Sharing%20Changes%20(final).pdf,Board of Trustees,,,,,
shp14,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2018%20Benefit%20Development%20Premium%20Strategy%20(final).pdf,Board of Trustees,,,,,
shp15,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2018%20Open%20Enrollment%20Update.pdf,Board of Trustees,,,,,
shp16,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2018%20Premium%20Rate%20Recommendations.pdf,Board of Trustees,,,,,
shp17,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2019%20Benefits%20TPA%20Contract%20Implementation.pdf,Board of Trustees,,,,,
shp18,https://shp.nctreasurer.com/Board%20of%20Trustees%20Meeting%20Documents/2A-CommunicationsUpdate_01-26-2016.pdf,Board of Trustees,,,,,
