module,name,permission,anonymous user,authenticated user,administrator,publisher,editor,event creator,site manager,site admin
acquia_cloud_sticky_sessions,,,,,,,,,,
,Stick to Acquia web node,stick to Acquia web node,,,1,1,1,1,1,1
addthis,,,,,,,,,,
,Administer Addthis sharing widget,administer addthis,,,1,,,,,1
,View the addthis widget,view addthis,1,1,1,1,1,1,1,1
advagg,,,,,,,,,,
,bypass advanced aggregation,bypass advanced aggregation,,,1,,,,,
advanced_link,,,,,,,,,,
,Access Advanced Link autocomplete,access advanced_link autocomplete,1,1,1,1,1,1,1,1
aggregator,,,,,,,,,,
,Administer news feeds,administer news feeds,,,1,,,,,1
,View news feeds,access news feeds,1,1,1,1,,1,1,1
apps,,,,,,,,,,
,Administer the App Store,administer apps,,,1,,,,,
auditfiles,,,,,,,,,,
,Access Audit Files' reports,access audit files reports,,,1,,,,,1
,Administer Audit Files,administer audit files,,,1,,,,,1
autologout,,,,,,,,,,
,Change own logout threshold,change own logout threshold,,,1,,,,,
,Administer Autologout,administer autologout,,,1,,,,,
backup_migrate,,,,,,,,,,
,Access Backup and Migrate,access backup and migrate,,,1,,,,,
,Perform a backup,perform backup,,,1,,,,,
,Access backup files,access backup files,,,1,,,,,
,Delete backup files,delete backup files,,,1,,,,,
,Restore the site,restore from backup,,,1,,,,,
,Administer Backup and Migrate,administer backup and migrate,,,1,,,,,
bean,,,,,,,,,,
,Administer block types,administer bean types,,,1,,,,1,1
,Administer beans,administer beans,,,1,,,,1,1
,Access the Bean overview page,access bean overview,,,1,1,,,1,1
,Change the View Mode of the Bean,edit bean view mode,,,1,,,,1,1
,View Bean page,view bean page,,,1,1,,,1,1
,Administer Bean Settings,administer bean settings,,,1,,,,1,1
,View Bean revisions,view bean revisions,,,1,,,,1,1
,Content Card: Add Bean,create any bean_entity_view bean,,,1,,,,1,1
,Content Card: Edit Bean,edit any bean_entity_view bean,,,1,1,,,1,1
,Content Card: View Bean,view any bean_entity_view bean,1,1,1,1,1,1,1,1
,Content Card: Delete Bean,delete any bean_entity_view bean,,,1,,,,1,1
,Alert: Add Bean,create any nc_alerts bean,,,1,,,,1,1
,Alert: Edit Bean,edit any nc_alerts bean,,,1,1,,,1,1
,Alert: View Bean,view any nc_alerts bean,1,1,1,1,1,1,1,1
,Alert: Delete Bean,delete any nc_alerts bean,,,1,,,,1,1
,Article Card: Add Bean,create any nc_card_article bean,,,1,,,,1,1
,Article Card: Edit Bean,edit any nc_card_article bean,,,1,1,,,1,1
,Article Card: View Bean,view any nc_card_article bean,1,1,1,1,1,1,1,1
,Article Card: Delete Bean,delete any nc_card_article bean,,,1,,,,1,1
,CTA Card: Add Bean,create any nc_card_cta bean,,,1,,,,1,1
,CTA Card: Edit Bean,edit any nc_card_cta bean,,,1,1,,,1,1
,CTA Card: View Bean,view any nc_card_cta bean,1,1,1,1,1,1,1,1
,CTA Card: Delete Bean,delete any nc_card_cta bean,,,1,,,,1,1
,Stat Card: Add Bean,create any nc_card_stat bean,,,1,,,,1,1
,Stat Card: Edit Bean,edit any nc_card_stat bean,,,1,1,,,1,1
,Stat Card: View Bean,view any nc_card_stat bean,1,1,1,1,1,1,1,1
,Stat Card: Delete Bean,delete any nc_card_stat bean,,,1,,,,1,1
,Animated Stat Card: Add Bean,create any nc_card_animated_stat bean,,,1,,,,1,1
,Animated Stat Card: Edit Bean,edit any nc_card_animated_stat bean,,,1,1,,,1,1
,Animated Stat Card: View Bean,view any nc_card_animated_stat bean,1,1,1,1,1,1,1,
,Animated Stat Card: Delete Bean,delete any nc_card_animated_stat bean,,,1,,,,1,1
,Government Card: Add Bean,create any nc_card_govt bean,,,1,,,,1,1
,Government Card: Edit Bean,edit any nc_card_govt bean,,,1,,,,1,1
,Government Card: View Bean,view any nc_card_govt bean,1,1,1,1,1,1,1,1
,Government Card: Delete Bean,delete any nc_card_govt bean,,,1,,,,1,1
,Service Card: Add Bean,create any nc_card_service bean,,,1,,,,1,1
,Service Card: Edit Bean,edit any nc_card_service bean,,,1,1,,,1,1
,Service Card: View Bean,view any nc_card_service bean,1,1,1,1,1,1,1,1
,Service Card: Delete Bean,delete any nc_card_service bean,,,1,,,,1,1
,Agency Card: Add Bean,create any nc_card_agency bean,,,1,,,,1,1
,Agency Card: Edit Bean,edit any nc_card_agency bean,,,1,1,,,1,1
,Agency Card: View Bean,view any nc_card_agency bean,1,1,1,1,1,1,1,1
,Agency Card: Delete Bean,delete any nc_card_agency bean,,,1,,,,1,1
,Info Card: Add Bean,create any nc_card_info bean,,,1,,,,1,1
,Info Card: Edit Bean,edit any nc_card_info bean,,,1,1,,,1,1
,Info Card: View Bean,view any nc_card_info bean,1,1,1,1,1,1,1,1
,Info Card: Delete Bean,delete any nc_card_info bean,,,1,,,,1,1
,Event Card: Add Bean,create any nc_card_event bean,,,1,,,,1,1
,Event Card: Edit Bean,edit any nc_card_event bean,,,1,1,,,1,1
,Event Card: View Bean,view any nc_card_event bean,1,1,1,1,1,1,1,1
,Event Card: Delete Bean,delete any nc_card_event bean,,,1,,,,1,1
,Person Card: Add Bean,create any nc_card_person bean,,,1,,,,1,1
,Person Card: Edit Bean,edit any nc_card_person bean,,,1,1,,,1,1
,Person Card: View Bean,view any nc_card_person bean,1,1,1,1,1,1,1,1
,Person Card: Delete Bean,delete any nc_card_person bean,,,1,,,,1,1
,Video Card: Add Bean,create any nc_card_video bean,,,1,,,,1,1
,Video Card: Edit Bean,edit any nc_card_video bean,,,1,1,,,1,1
,Video Card: View Bean,view any nc_card_video bean,1,1,1,1,1,1,1,1
,Video Card: Delete Bean,delete any nc_card_video bean,,,1,,,,1,1
